Ref,Val,Package,PosX,PosY,Rot,Side
"C190","100 nF","C_0402_1005Metric",5.808978,1.831998,-90.000000,top
"C191","100 nF","C_0402_1005Metric",5.658978,1.829998,-90.000000,top
"C192","100 nF","C_0402_1005Metric",5.508978,1.829998,-90.000000,top
"C193","100 nF","C_0402_1005Metric",5.358978,1.832998,-90.000000,top
"C194","1000 pF, 2KV","C_1206_3216Metric",5.479528,3.081496,-90.000000,top
"C195","1000 pF, 2KV","C_1206_3216Metric",5.720644,2.010766,-90.000000,top
"C196","100 nF","C_0402_1005Metric",6.482431,2.956305,-90.000000,top
"C197","100 nF","C_0402_1005Metric",6.331431,2.956305,-90.000000,top
"C198","100 nF","C_0402_1005Metric",6.180431,2.956305,-90.000000,top
"C199","100 nF","C_0402_1005Metric",6.031431,2.956305,-90.000000,top
"C200","100 nF","C_0402_1005Metric",6.549787,1.819701,-90.000000,top
"C201","100 nF","C_0402_1005Metric",6.398978,1.828998,-90.000000,top
"C202","100 nF","C_0402_1005Metric",6.249978,1.831082,-90.000000,top
"C203","100 nF","C_0402_1005Metric",6.098978,1.831998,-90.000000,top
"C204","1000 pF, 2KV","C_1206_3216Metric",6.225591,3.086614,-90.000000,top
"C205","1000 pF, 2KV","C_1206_3216Metric",6.475197,1.986220,-90.000000,top
"C206","100 nF","C_0402_1005Metric",7.472441,5.854331,0.000000,top
"C207","100 nF","C_0402_1005Metric",7.472441,5.895283,0.000000,top
"C208","100 nF","C_0402_1005Metric",7.472441,5.797827,0.000000,top
"C209","100 nF","C_0402_1005Metric",7.472441,5.757276,0.000000,top
"C210","100 nF","C_0402_1005Metric",7.472441,5.700583,0.000000,top
"C211","100 nF","C_0402_1005Metric",7.472441,5.660496,0.000000,top
"C212","100 nF","C_0402_1005Metric",7.472441,5.602992,0.000000,top
"C213","100 nF","C_0402_1005Metric",7.472441,5.562992,0.000000,top
"C214","100 nF","C_0402_1005Metric",7.262031,5.196850,-90.000000,top
"C215","100 nF","C_0402_1005Metric",7.222031,5.196850,-90.000000,top
"C216","100 nF","C_0402_1005Metric",7.164165,5.196850,-90.000000,top
"C217","100 nF","C_0402_1005Metric",7.123787,5.196850,-90.000000,top
"C218","100 nF","C_0402_1005Metric",7.063173,5.196850,-90.000000,top
"C219","100 nF","C_0402_1005Metric",7.023173,5.196850,-90.000000,top
"C220","100 nF","C_0402_1005Metric",6.965654,5.196850,-90.000000,top
"C221","100 nF","C_0402_1005Metric",6.924654,5.196850,-90.000000,top
"C222","1.0 uF","C_0603_1608Metric",7.526378,3.420024,90.000000,top
"C223","1.0 uF","C_0603_1608Metric",8.883378,3.863024,0.000000,top
"C251","100 nF","C_0402_1005Metric",7.372378,2.955114,-90.000000,top
"C252","100 nF","C_0402_1005Metric",7.222378,2.955114,-90.000000,top
"C253","100 nF","C_0402_1005Metric",7.074378,2.955114,-90.000000,top
"C254","100 nF","C_0402_1005Metric",6.924378,2.955114,-90.000000,top
"C255","100 nF","C_0402_1005Metric",7.447378,1.836020,-90.000000,top
"C256","100 nF","C_0402_1005Metric",7.307087,1.826772,-90.000000,top
"C257","100 nF","C_0402_1005Metric",7.147378,1.836020,-90.000000,top
"C258","100 nF","C_0402_1005Metric",6.995378,1.836020,-90.000000,top
"C259","1000 pF, 2KV","C_1206_3216Metric",7.268110,3.214961,-90.000000,top
